Review,date,Location
"Pool was super dirty & Jacuzzi water was a bit yellowish color. Room was clean but carpet was super dirty! Carpets needs to be deep clean... So wear socks! Rooms also tends to get stuffy quick! Worst of all the assistant I had was horrible at service. She was rude and unattentive. Felt rushed and she didn't try to give us any information at all about the hotel except where our room is at. They only accept strictly Debit cards and some major credit cards only with a $50-100 dollars deposit depending on if you have kids or not with you. If only the attendant that helped me was more friendly I wouldn't mind so much all the other flaws... But in all honesty I didn't even get a smile from her and I booked 4 rooms. But I'm not saying all employees are like that but I can say I never gotten any kind of acknowledgement from any of the employees who works there. No one greets.
  
  Read more
  Read less",2019-08-12,
"It was a good experience overall. Complementary shuttle service helps a lot especially because airport is nearby
  
  Read more
  Read less",2019-08-12,
"Everything here is really great - the staff , the rooms - the safety and quietness, the cleanliness of the rooms and lobby. I adore this hotel and hope to return soon. This is really a 10 star hotel in my book!
  
  Read more
  Read less",2019-08-12,
"Everything was great. Hello, just staying in the heart of New York was fantastic!
  
  Read more
  Read less",2019-08-12,
"cleanliness at hotel was very good in rooms and all public areas
  
  Read more
  Read less",2019-08-12,
"Lobby looks amazing! Parking is not included with your booking, so you have to pay to park on a place that you are actually visiting and staying the night. I booked a 2 double bed room and my room had 2 full beds instead. The facility was clean, outdoors, gardens, pool were very clean, but the room didn't match the rest of the hotel. I was definitely expecting more. I won't be staying at this hotel again. You get more for less on other hotels around the area.
  
  Read more
  Read less",2019-08-12,
"Rooms are small. Rooms with king sized bed - one side of bed is up against the wall and there is barely enough room to walk between the end of the bed and the desk/television on the opposite wall. Rooms with double beds offer a little more room, but it is still cramped. However, rooms are clean with natural light from floor to ceiling windows.
  
  Read more
  Read less",2019-08-12,
"A very well managed property beating big five star hotels in every aspects including staff friendliness, cleanness, convenience (free self parking!! in Anaheim), close distance to convention center and Disney parks.
  
  Read more
  Read less",2019-08-12,
"Very courteous, and the rooms were very nice. The only issue was that in the business center they time the computers out at 15 minutes per session. That should be more like 30 minutes.
  
  Read more
  Read less",2019-08-12,
"An old building seem like its used to an office building, very small room the ugly shower area super over priced!? With lots of hidden fees like just for extra 2 hours late checkout they charge $50.00 easily they can double your rate, the slow elevator we change our hotel to residences inn in Manhattan compared to the New Yorker it was not 5 star but also 6 star ?? stay away from the New Yorker !
  
  Read more
  Read less",2019-08-11,
"Art Deco beauty, perfect location, helpful and friendly staff
  
  Read more
  Read less",2019-08-11,
"The location is excellent. The hotel staff is friendly and helpful. Although the hotel is older it is well kept. The only thing is the water changes temperature when showering and elevators take a while to come down. It is understandable though being that it is a busy hotel.
  
  Read more
  Read less",2019-08-11,
"nos encanto tanto el trato recibido en la recepcion como la ayuda del SR. SEBASTIAN,super amable y eficiente. Muchisimas gracias
  
  Read more
  Read less",2019-08-11,
"Camera non disponibile e sporca. Lunghissime code alla reception.
  
  Read more
  Read less",2019-08-11,
"Overall good deal and not a bad area...no pool though :/ work out room was too warm and no towels in there. And the breakfast was mediocre. Not enough options.
  
  Read more
  Read less",2019-08-11,
"Ok place. 
 The room was decent . The location was great
  
  Read more
  Read less",2019-08-11,
"Checked in at night. Light switch not easy to find. Multiple lights not working in room.
  
  Read more
  Read less",2019-08-10,
"Old property but good service and clean at all moments
  
  Read more
  Read less",2019-08-10,
"Shower appears to have mold on ceiling, wallpapering is peeling off wall. Sheets were stained. I can show pictures of wallpaper and mold problems if required. For the price i would expect cleaner facilities.
  
  Read more
  Read less",2019-08-10,
"The hotel set as 4.5* yet the service is low 1 man in the loby room, suits ledt without monitoring, 
 Room service was poor 
 The hotel is old and maintained poorly
  
  Read more
  Read less",2019-08-10,
"Simplemente espectacular en todo sentido y momento
  
  Read more
  Read less",2019-08-09,
"All good i feel at home on this place even we walk lil bit far but all are good
  
  Read more
  Read less",2019-08-09,
"Likes:
 The bed was very comfortable. 
 
 Dislikes: 
 Staff were not very friendly. The breakfast was not very good. 
 Our bed runner had some marks of burning with something like a cigarette.
  
  Read more
  Read less",2019-08-09,
"Great location for our stay. The tick tock restaurant was okay. Thank you.
  
  Read more
  Read less",2019-08-09,
"Queen size bed felt more like a full. Otherwise quite pleasant.
  
  Read more
  Read less",2019-08-09,
"I stayed on a groumd floor room near the pool and have to say as a hotel with the word Disney associated this is the most disappointing hotel i stayed in orlando. The room smelled musty, the AC was loud and frequently went on and off, almost no sound proofing between the door and outside so heard every child or pool activity. Overall the room I'd say was nothing more then a new paint job.
  
  Read more
  Read less",2019-08-09,
"The staff was amazing at check in fast check in very accommodating
  
  Read more
  Read less",2019-08-09,
"The room was not clean and had distinctive unpleasant smell, spider web in the corners.
  
  Read more
  Read less",2019-08-09,
"Room is decorated nicely. Comfy bed. Check I was fine, but more than one person working would of made it great.
  
  Read more
  Read less",2019-08-09,
"It was clean and staff was friendly and professional.
  
  Read more
  Read less",2019-08-09,
"The property is in a nice neighborhood with restaurants, retail shopping and easy access to public transportation. The facility was only about twenty minutes from LaGuardia airport which was convenient after a long day of travel. The hotel was clean and check in was easy with the staff. They ran out of room card so we only had one during our stay which was fine because we were together coming and going. They did tell us to check back in the morning after our check in but we didn�t check back. 
 
 We had a king size bed in our room which was very comfortable. The bathroom was small as you had to wedge yourself in the corner to shut or open the door but the shower was nice and the sink area as well. The mirror also lit up without the main light as well which was a nice feature. 
 
 Nice flat screen tv mounted on the wall and a wardrobe provided because there wasn�t a closet. We made use of a corner in the room for our large luggage and had plenty of cubby holes for clothing and shoes. 
 
 Breakfast was also provided every morning which was a great way to start the day not having to worry about food for a good part of the day. The only negative was that it was the same foods everyday in a buffet style. 
 
 Overall for the price, room features, neighborhood location and breakfast I would stay here again. I really liked that there wasn�t carpet on the floor either.
  
  Read more
  Read less",2019-08-09,
"Its location to the atyractions was excellent but could have done with more shuttle bus times. Staff were extremely helpful. Food was good but breakfast could have had more variety. Generally a very good stay
  
  Read more
  Read less",2019-08-09,
"Everything was Excellent!!! The room was great, the staff was excellent and all the amenities were perfect. Thanks to everyone one for making our stay enjoyable and fun.
  
  Read more
  Read less",2019-08-09,
"I liked the free shuttle from and to the airport, i liked being close to the airport. We loved the swimming pool and having the Bamboo Lounge attached to the hotel.
  
  Read more
  Read less",2019-08-08,
"The hotel is very nice and the staff is professional and very pleasant and accommodating. The room is older but it was clean. It would have been better if there was at least one shelf in the bathroom. A coffee maker in the room would also have been nice. The location is excellent for attending events at Madison Square Garden and a short walk from Port Authority if arriving by bus.
  
  Read more
  Read less",2019-08-08,
"Hotel staff was very curteous. Lobby was very sleek and modern. Room was nice
  
  Read more
  Read less",2019-08-08,
"I enjoyed my stay very much. I was able to check in early and that made it very convenient.
  
  Read more
  Read less",2019-08-07,
"Amazing place! Gorgeous facility and clean pools. Will come back again.
  
  Read more
  Read less",2019-08-07,
"It was really comfortable! I traveled to NY for the first time by myself. However, I'm glad to select this hotel because they are very kind, and it is easy for foreigners to understand what they said.
  
  Read more
  Read less",2019-08-07,
"10???????????????????????????????????????
 ?????????????????????????????????????????????????????????????????????????????????????????????????????
  
  Read more
  Read less",2019-08-07,
"Wi-Fi is so slow?and room is very old
 ???????? ....
  
  Read more
  Read less",2019-08-07,
"Picked this hotel based off price, rating, and distance from JFK airport. The room had limited lighting so it was hard getting ready in the morning. Also no microwave. Overall, I was pleased with the hotel and all the shops/restaurants around.
  
  Read more
  Read less",2019-08-07,
"Huge property with lots of exploring. Ideal for large families. Beautiful.
  
  Read more
  Read less",2019-08-06,
"The room cleaning better under the bed I found socks and big bottles water
  
  Read more
  Read less",2019-08-06,
"nice place to stay - easy access to everything, close to the subway
  
  Read more
  Read less",2019-08-06,
"The lobby area was nice, and so was the pool. The check in staff could be a little more friendlier, doesn�t hurt to speak 1st! The pool concession was slow & the drinks were horrible especially for the price!
  
  Read more
  Read less",2019-08-06,
"Check in slow. Room smelt of cigarettes. Staff were polite and moved us but process was slow.
  
  Read more
  Read less",2019-08-06,
"There's some mishaps that we did experience staying in Wyndham Garden Silicon Valley in San Jose. When I booked the 2 rooms 1 for my family and 1 for my Aunt and Uncle it says we are getting a King size bed but when we got in our rooms it appears to be a Queen size bed, both rooms. Then trying to use the phone in our room but its not working and I have to go to my Aunt's room to use there phone then I have to wait for them to ring me back but I decided to go down to the front desk then they told me that it is a King size bed and also they told me they can't transfer us because they are fully book. The rooms are both accessible and very spacious. It looks clean but I have seen some water stain in the ceiling. We slept alright its comfortable enough. Staff are friendly. Overall experience is alright nothing standout.
  
  Read more
  Read less",2019-08-06,
"Checkin person was nice and checkin was efficient. Older and dirtier than expected. Business area and computer was outdated and no printer available to print boarding passes. For a hotel in Silicon Valley it is is way outdated.
  
  Read more
  Read less",2019-08-06,
"The front receptionist had an emergency and we had to wait until someone else came. Other than that, the place was good.
  
  Read more
  Read less",2019-08-06,
"Just an okay lodging experience in a good location.
  
  Read more
  Read less",2019-08-06,
"Everything was great but the A/C in our room wasn�t working and it was really hot outside.
  
  Read more
  Read less",2019-08-06,
"Parking fees should be free. Charging $20 a day is ridiculous. I could have stayed with a different hotel if I knew I have to pay for this. I will not come back unless parking is free.
  
  Read more
  Read less",2019-08-06,
"Hotel was perfectly located for both Disney and Universal parks. Lots of restaurants and bars within walking distance. Free parking which is a bonus. 
 
 Lots of rooms have been upgraded and some have still to be refurbished. Our room was ideal, not upgraded, air con a bit noisy but it was still perfectly clean and did the job.
  
  Read more
  Read less",2019-08-06,
"Things for kids and a good amount of pools. Hotel was nice and clean.
  
  Read more
  Read less",2019-08-05,
"I liked that this property was extremely kid friendly- the water slides and lazy river were great bonuses.
  
  Read more
  Read less",2019-08-05,
"Property was nice but I fell in lobby on wet floor and broke my wrist,
  
  Read more
  Read less",2019-08-05,
"The staff/personnel were all friendly and attended to our needs on the spot. Definitely a place i would recommend
  
  Read more
  Read less",2019-08-05,
"I would only recommend this hotel due to its location. Its right in front of the Madison Square Garden and has a lot of metro entrances close which makes it easier to commute. However, there are some hotel features which are not the best. The rooms are extremely small. I went with my boyfriend so overall it was fine but it was already a small room for the two of us. They didn't clean the room very well. Also, we were on the 30th floor and to wait for the elevators was a complete nightmare. One day we had to spent 15 minutes waiting for an elevator with enough space to be able to go down and then another day we had to wait 30 minutes in the lobby to be able to go up. The elevators need major improvement since they are really slow and they are always crowded.
  
  Read more
  Read less",2019-08-05,
"Excelente ubicaci�n y habitaci�n muy limpia, de echo es la tercera que nos quedamos en este hotel y lo volveremos a hacer.
  
  Read more
  Read less",2019-08-05,
"Clean and good security! The room was a little small but to be expected in the area.
  
  Read more
  Read less",2019-08-05,
"Das Hotel verf�gt �ber den einzigartigen Charm der 30er Jahre und ist auf alle F�lle zu empfehlen.
  
  Read more
  Read less",2019-08-05,
"Tiene una excelente ubicaci�n. Cerca al empire State y madison square Garden y la estaci�n del tren st. Penn. Igual que al port Authority si deseas ir a los outlet. El hotel es super acogedor. Se descansa muy bn y siempre tu habitaci�n est� impecable. Una vista hermosa de los rascacielos desde de tu habitaci�n. Lo recomiendo al 100%!!
  
  Read more
  Read less",2019-08-05,
"Our first room was basically in the parking lot. It was incredibly loud until about 1am and then again beginning at 5am. We barely got any sleep. This was due not only to location, but mostly due to the fact that the seal of the door was non-existent. We could see light all the way around it. They did let us change rooms. This new room was in a better location, but was still very loud. Also, as soon as you check in they try to con you into a timeshare. We also had dried blood stains on our comforter. We could not wait until check-out. I mean this hotel is cheaper than others in the area, but it was a terrible experience. Not worth the savings!!!!
  
  Read more
  Read less",2019-08-05,
"Given a room on the first floor, opening to the parking lot. Having to deal with people coming and leaving at all times, car alarms etc.
 We didn�t have a car so not sure why we would have to deal with that meanwhile those that had cars probably were in much better room locations
  
  Read more
  Read less",2019-08-05,
"Concierge was not helpful when we needed to get a taxi.
  
  Read more
  Read less",2019-08-05,
"This experience was horrible. The staff was rude. The room was small. I had to wait 3 hours for fresh towels. Overall it was a horrible experience
  
  Read more
  Read less",2019-08-05,
"The room was great along with the service. I was really happy with this hotel.
  
  Read more
  Read less",2019-08-05,
"Clean and everything else very good parking easy and very nice people
  
  Read more
  Read less",2019-08-05,
"I liked the fact that it had its own private litle balcony well kepted and very clean
  
  Read more
  Read less",2019-08-05,
"We didn�t get the room that I booked. I booked a King bed as we were staying to celebrate my boyfriend�s birthday. We were given a room with two double beds. I specifically didn�t book another hotel that was my first choice because they only had double beds left. Everything else was great.
  
  Read more
  Read less",2019-08-05,
"Lobby was hard to find and didn�t look like the photos. The rooms and linen had a weird odor
  
  Read more
  Read less",2019-08-05,
"The surrounding area is a bit questionable but the hotel itself, parking, security, rooms, amenities and staff were AWESOME!??
  
  Read more
  Read less",2019-08-04,
"El restaurante d carne butcher and bank y la ubicacion del hotel
  
  Read more
  Read less",2019-08-04,
"Il est parfaitement situ�, c est un atout majeur. Proche du m�tro et du coeur de la ville, � 2 pas de time square et de Broadway
  
  Read more
  Read less",2019-08-04,
"Staff was very kind and amicable. The rooms were kept clean all the time.
  
  Read more
  Read less",2019-08-04,
"The staff was friendly and the room was clean. It was safe with access only for their guest via key cards.
  
  Read more
  Read less",2019-08-04,
"Clean, economical, spacious & walking distance from everything. LOVED IT
  
  Read more
  Read less",2019-08-04,
"Staff was very friendly and nice. Facilities needs improvement! Not very clean.
  
  Read more
  Read less",2019-08-03,
"The rooms are really really tiny. And they have tried to fitminiature size amenities in the small space. Small desk, small chair, small everything. Be ready to literally walk sideways to get to the bed, if you are in a two bed room. Same story in the bathroom. An irritatingthing was that there was no place to put the soap while showering. Maybe they wany to just put it on the floor. Had a less than basic free breakfast in a dingy basement.
 
 Also, you have to patk on the street, or pay $25 for valet parking.
  
  Read more
  Read less",2019-08-03,
"Walkable from Disney park and free parking. Property was big and small enough to manage from going from your vehicle to the lobby and up to the room with young kids. Free coffee amenities were great. Would ask if they can update the color of their closets to make it more welcoming to keep your belongings in. It was dark and out dated looking. Would definitely stay here again.
  
  Read more
  Read less",2019-08-03,
"The room was clean, over all the hotel wasn't bad. However, some of the staff was rude. A charge of 20 dollars for parking. There shouldn't be a chance if you're staying there.
  
  Read more
  Read less",2019-08-03,
"The Wyndham has gone back. The room was awful. The toilet kept breaking and on the last day they decided to turn off the water mid way through a shower without notifying the guests. In addition a cockroach was also seen in the bath tub. Around the pool it�s pretty much look after yourself. There is no one coming round taking drink orders and there is no amenity to blow up your child�s floaty. The surface of the pool is in need of some TLC. I have stayed here so many times but this will be my last time as the hotel has seriously gone back. The breakfast is very basic and you constantly have to remind the servers about your breakfast order. We asked for an omelette and 20 mins later it was still not out and then when it finally did it was the wrong one. Just not good enough.
  
  Read more
  Read less",2019-08-03,
"The location is great, walking distance from Disney Springs
  
  Read more
  Read less",2019-08-02,
"Beautiful property but did. It like the hidden daily parking fee that I was presented with
  
  Read more
  Read less",2019-08-02,
"Everything was perfect, the staff and facilities where really good. The food was algo perfect!
  
  Read more
  Read less",2019-08-02,
"the only thing was when you played miniature golf we had to get the clubs and balls from a different hotel and return them to that hotel. it was a bit confusing. the food at the pool side restaurant was pricy and not very good. shrimp was over cooked and kids got burgers. just ok. for the price and the food served I would not eat there again. the room was great, employees very helpful and nice and clean. I would come again but eat off the property.
  
  Read more
  Read less",2019-08-01,
"Excellent facilities. Great for families or couples.
  
  Read more
  Read less",2019-08-01,
"This is an old hotel which is badly needing redecorated. We However it is spotlessly clean and its location is ideal with subway only a couple of minutes walk away. 
 
 We stayed in a double metro view room, it was large enough for us withe 2 double beds however the 'view' was not worth the extra money.
  
  Read more
  Read less",2019-08-01,
"the super ugly room at all as in the photos smelled of urine moisture on the walls never cleaned the room well the cleaning staff arrives collapsing the door every morning in very bad experience for the price wait something better was any hotel passing through
  
  Read more
  Read less",2019-08-01,
"All good! We are very happy and the joy is in the family!
  
  Read more
  Read less",2019-08-01,
"En general esta bien el hotel, lo malo que cobran 20 d�lares diarios por usar el estacionamiento y cuando reserv� nunca se me inform� sobre eso, los productos que ah� venden son excesivamente caros, totalmente fuera de la realidad, si llevan auto les costar� mucho por tenerlo ah� y si no llevan tendr�an que consumir cosas muy caras.
  
  Read more
  Read less",2019-08-01,
"could not get proper facility insdie the room. When used the toilet and water came out of toilet with worst amnites,not worth of 200$ per day.
  
  Read more
  Read less",2019-08-01,
"The hotel is very clean and comfortable . Nice comfortable beds. Staff are friendly. There is a self service area to leave your luggage after check out until the end of the day (no security -but its safe to leave your baggage).
  
  Read more
  Read less",2019-08-01,
"We stay here all the time. It�s clean. Plenty of space in the rooms and very friendly staff.
  
  Read more
  Read less",2019-07-31,
"Excelente it a nice place to take your family very clean
  
  Read more
  Read less",2019-07-31,
"I arrived for check in at 4:00 pm, to find out that my room wasn�t available for check in as well as i was responsible for 22$ Daily parking fee. I asked for a manager as i had traveled according to check in! She waived the resort fee, which was nice but for the amount of money being spent to stay at your resort this should not have been an issue whatsoever, to top it off I was told delayed possibly 30 minutes however i didn�t receive a call until 6:00pm notifying me of that my room had become available! 1hour and half after the expected Time giving! We were celebrating my Dtrs 6th Birthday due to the fact that we didn�t check in until 6:00 by the time we got our bags out and situated to change and made it down stairs to start exploring it�s started to storm and of course bc of this the pools are closed down bummer so our first night we spent in the room??Not Happy Travelers! Had i been notified prior to arriving on time i could have planned accordingly, and found something else to do with her in her special day!
  
  Read more
  Read less",2019-07-31,
"The property was well kept, room was clean when arrived, modern. No adult entertainment provided at all, nothing within walking distance, restaurants just ok. Staff was polite & professional. At Check in their system over authorized my credit card by a big amount (according to an Uber driver this happens a lot in Orlando), however, Ashley S brought to my attention and took care of it immediately she was very apologetic and took necessary steps to make sure it didn't happen again. I was given 2 breakfast buffet coupons & compted 1 day for resort fee. As far as room being cleaned daily housekeeping needs help, never consistent with leaving towels, toilet paper, no vacuuming, didn't empty trash 1 day. I wouldn't choose to stay here again, its more for families with children as there was plenty of activities for kidos.
  
  Read more
  Read less",2019-07-31,
"you feel how dirty and old the carpet. You kind of almost felt like the linen was not wash. I guess it just needs updating and it will be okay.
  
  Read more
  Read less",2019-07-31,
"I was disappointed with the property but the staff was friendly and helpful.
  
  Read more
  Read less",2019-07-31,
"The room was comfortable and seems like it has been remodeled
  
  Read more
  Read less",2019-07-31,
"The hotel is clean and the staff friendly and helpful.
  
  Read more
  Read less",2019-07-31,
"Die Aufz�ge brauchen lange bis sie ankommen. Dar�ber hinaus sind die Zimmer recht klein.
 Ansonsten alles Top
  
  Read more
  Read less",2019-07-31,
"I didn't like the parking (a lot of cars). Think every guest should have a designated parking.
  
  Read more
  Read less",2019-07-31,
"Great service at front desk. The rooms are very spacious and clean. The fully stocked kitchen is a great plus
  
  Read more
  Read less",2019-07-31,
"This hotel is three star only, nice hotel but it�s too expensive for three star hotel 
 There is no place in front of the hotel to load and unload a lot of constructions 
 No parking available
  
  Read more
  Read less",2019-07-31,
"The rooms or nicely updated and clean. The hotel overall was very nice.
  
  Read more
  Read less",2019-07-31,
"No parking. Charged $25 a day to park, rooms were extremely small, staff did not speak English. Couldn't find my reservation.
  
  Read more
  Read less",2019-07-31,
"The toilet handle in our room broke off on first use. We called room service to fix it while we were at the pool and they didn't come. Then we asked the front desk again to see if they could fix it while we went out. We got back four hours later and it was never fixed. We had to open up the top of the toilet every time to flush it. It was super annoying. 
 
 Also parking is not included in the price and it's $20. That sucked.
  
  Read more
  Read less",2019-07-31,
"The room was.updated and modern.i loved the rug and the lamp in the room
  
  Read more
  Read less",2019-07-31,
"It was nice and had a lot of stores next to the hotel which was very convenient for me and my fianc�
  
  Read more
  Read less",2019-07-31,
"Clean and friendly. Walls are very thin and can hear everyone and everything. Remote was not in working condition. Pet friendly but no pet bags at pet station.
  
  Read more
  Read less",2019-07-31,
"I liked the fact that wawa was right across the parking lot. I didnt like the fact that i couldnt open the sliding glass doors to patio due to it being stuck.
  
  Read more
  Read less",2019-07-31,
"Good hotel but no elevator to second floor so bringing up and down luggage was difficult.
  
  Read more
  Read less",2019-07-31,
"Great location, lovely staff, no frills Hotel ideal for a busy manhattan trip.
  
  Read more
  Read less",2019-07-30,
"We were staying only for one night and the lobby staff helped us in a very kind way, we really appreciate it their help
  
  Read more
  Read less",2019-07-30,
"Historic, location need to be updated need better technology
  
  Read more
  Read less",2019-07-30,
"The history of the property is wonderful. The location is perfectly central to so many things.
  
  Read more
  Read less",2019-07-30,
"The location is very good. It is clean and have a good pool
  
  Read more
  Read less",2019-07-30,
"Did not like having to pay additional hotel fees, after taxes, it was almost $200.00 (including parking fee) that I didn't account for
  
  Read more
  Read less",2019-07-30,
"Location is great. Situated at a 5 minute walk to Disney Springs. Buses to parks come every half hour which is excellent. Staff is very friendly and helpful. Hotel is very clean. Pool area very clean as well and open intil 11pm. Restaurants on property serve a variety of good food. The breakfast buffet (with Disney Characters certain days)has many choices of food. The 24hour food and drink shop is wonderful. There is a nice gift shop situated in lobby. Even lobby has many spots where you can just sit and relax or even watch tv. For myself and my kids it was a wonderful experience staying at the Wyndham Garden Lake Buena Vista
  
  Read more
  Read less",2019-07-30,
"My trip was great but things there was very pricey
  
  Read more
  Read less",2019-07-30,
"I really liked this hotel and will probably book there again. Amenities are awesome, overall hotel is very nice, the reason i reviewed as i did was because when we arrived, the hotel staff told us that they overbooked and we were going to have to be moved from room to room in the middle of our stay. With children, that sucks. But we didn�t have a choice. We booked so long in advance there was no way another hotel would be the same price and the area was pretty sold out. So we bit the bullet. BUT the next morning we went downstairs and the staff at the counter had no idea what we were talking about, then informed us that there were no other rooms to move us to, which is great! It was just an inconvenience we had to stay packed for a day thinking we�d be moving rooms and then when addressed no one knew what we were talking about. Also, breakfast at the Summit restaurant in the same parking lot. We got the continental and it was just fruit and a fruit pastry. I paid for a different breakfast but it was ridiculously priced. If we weren�t staying at the hotel, two bowls of fruit, two pastries, two plates of biscuits and gravy would have been $65!!! Luckily it was not that much since we were staying there. So, other than that miscommunication at the front. The hotel was one of the nicer ones we�ve ever stayed in with our kids.
  
  Read more
  Read less",2019-07-30,
"AC in my room was broken dirong bery jot hot weather. Room was warm, hall and lobby were cool.
  
  Read more
  Read less",2019-07-30,
"Like - 24 hours front desk service 
 Can improve - Not enough parking
  
  Read more
  Read less",2019-07-30,
