Review,Sentiment,Confidence Score,Emotion1,Emotion_conf1,Emotion2,Emotion_conf2,date,Location
"Sent my parents on an anniversary trip, They wanted to stay local but wanted to get away from the heat in Riverside so they stayed here for two days. They said the property was secluded, clean and they felt safe in this area. The hotel itself was clean, comfortable and they had a nice view. The staff were friendly and found their reservation with no issues. ONLY downside is that they had to pay $20 per day for parking. The parking was private and they didn't worry about their car being broken into so that was a plus but it was an extra cost we didn't expect. Great location for site seeing.
  
  Read more
  Read less",POSITIVE,0.999056935,upset,0.572441876,anger,0.172493145,15-08-2019,Riverside
"Beautiful. Clean. Friendly staff. Variety of activities for adults & children. Would definitely choose to stay here again.
  
  Read more
  Read less",POSITIVE,0.998862267,upset,0.348216712,satisfied,0.314252019,14-08-2019,"Champaign, IL"
"This property is advertised as being renovated. Only four floors are renovated and a renovation means basically new bedding. There were stains on the ceiling, a leaking shower, toilet that didn't work, peeling paint and an unpleasant manager when we asked to change our room. He seemed to think a non-working toilet wasn't an issue. I would not recommend nor ever stay in this property again. It was very disappointing.
  
  Read more
  Read less",NEGATIVE,0.999460399,upset,0.774863839,anger,0.164308712,14-08-2019,Pennsylvania
"V�tuste m�rite un sacr� rafra�chissement 
 Emplacement id�al
  
  Read more
  Read less",NEGATIVE,0.998036981,upset,0.831843257,anger,0.083575808,14-08-2019,Toulon
"L�unica cosa accettabile � stata la cortesia ricevuta al check out. Tutto il resto da cancellare. Camera vecchia, male insonorizzata mobili vecchi e maltenuti, illuminazione fatta malissimo e, nonostante tutto abbiamo faticato a farcela assegnare. La prima camera che abbiamo ricevuto � al piano della strada con i parcheggi a 50 metri, questa camera � maleodorante di con mobili vecchi e scrostati. Guardate attentamente le condizioni perch� compaiono 25$/giorno per i servizi che dicono di offrire come ad esempio la navetta per i parchi ma non � cos�. Le navette non servono i parchi degli Universal Studios e non servono l�aeroporto quindi l�unico modo per spostarsi � il taxi peraltro abbastanza costoso. Una mattina si sono inventati un aumento di $ 11 + tasse e mancia al 18% a persona a perch� ospitavano alcuni osceni personaggi Disney !!! Eravamo stati in questo hotel 18 anni fa, ora non ci mai pi�
  
  Read more
  Read less",NEGATIVE,0.978425503,upset,0.678237617,anger,0.225885004,14-08-2019,Lake Buena Vista - Orlando
"They made us pay for gym facilities we didn�t use. It should be an optional fee. I came to see New York not to work out.
  
  Read more
  Read less",NEGATIVE,0.998508573,upset,0.811774552,anger,0.150604352,13-08-2019,Australia
"Friendly staff, clean property, secure parking, easy freeway access,!
  
  Read more
  Read less",NEGATIVE,0.983031869,upset,0.410293519,satisfied,0.314607739,13-08-2019,Las Vegas
"Todo excelente, muy buenas instalaciones y excelente servico
  
  Read more
  Read less",NEGATIVE,0.996634841,satisfied,0.672546804,upset,0.193892688,12-08-2019,M�xico
"I like everything in the hotel the personal very good services
  
  Read more
  Read less",NEGATIVE,0.943407774,satisfied,0.748447657,happy,0.173403174,12-08-2019,Miami
"I liked everything except the smoking by the pools ruined outdoor relaxation. Smelled very bad by the pools.
  
  Read more
  Read less",NEGATIVE,0.999715507,upset,0.880294144,anger,0.074814171,12-08-2019,"San Antonio,TX"
"I love how there are alot of pools but in terms of choices for restaurants being it the grand hotel was very limited. The good quality was alright for the high prices we paid. Nothing extravagant.
  
  Read more
  Read less",NEGATIVE,0.933626473,upset,0.459837258,happy,0.205471352,12-08-2019,Bayonne nj
"Everything was great. When we walked into the lobby, it smelled very nice.
  
  Read more
  Read less",POSITIVE,0.998758793,satisfied,0.446974367,upset,0.285229713,12-08-2019,Corinth
"There was no complementary breakfast but it was close to everything and Disney Springs was remarkable
  
  Read more
  Read less",POSITIVE,0.99725771,upset,0.769204795,anger,0.123903051,12-08-2019,New Jersey
"Great location. Two pools were nice. Staff was friendly.
  
  Read more
  Read less",POSITIVE,0.998769343,upset,0.382492512,satisfied,0.219355434,12-08-2019,Venice
"This place is a reasonable food dessert. Breakfast and lunch are $30 each and supper is $60. I noticed several parents waiting for pizza delivery. They charge for parking, so people are stuck there. The first night, I ate beef jerky and nuts from the gift shop. 
 There were stinky fruits all over the pool areas. They just tried to blow them under the bushes. STINKY!
 I needed my safe opened, and it took a long time to get them to do it. Most of the room was clean except mold in the shower. It rained a lot and there were NO inside activities. How about yoga or Zumba in the rainy season? I definitely Won't be back.
  
  Read more
  Read less",NEGATIVE,0.996966958,upset,0.757305503,anger,0.114345692,11-08-2019,Chicago
"Super convenient location! Right next to Penn Station
  
  Read more
  Read less",NEGATIVE,0.997729003,upset,0.561552584,anger,0.166625664,11-08-2019,"High Springs, FL"
"Reasonable price hotel. Tiny room is OK considering it's location, a few minutes to Penn station and walk distance to Broadway theaters. Fitness facilities were better than expected.
 Hotel staff were not friendly, lobby staff especially.
  
  Read more
  Read less",NEGATIVE,0.687471747,upset,0.627683759,anger,0.186316207,11-08-2019,Tokyo
"The entire staff was so friendly and helpful, and the location was perfect!
  
  Read more
  Read less",POSITIVE,0.99661541,satisfied,0.40516153,upset,0.343950897,11-08-2019,Mooresville NC
"Didn�t like being charged for parking and resort fee
  
  Read more
  Read less",NEGATIVE,0.999058664,upset,0.883935869,anger,0.109776713,11-08-2019,Apollo Beach
"The front desk staff, and manager, were super friendly and accommodating. Our room wasn�t ready yet (after the 3pm check-in time), so we were upgraded to a King Suite at no extra charge. The hotel is within walking distance to Disneyland/DCA. The room was very nice (clean and well-kept): newer furnishings and linens, no stains in the carpets, the A/C was excellent, etc. We would gladly stay here again!
  
  Read more
  Read less",POSITIVE,0.996391892,satisfied,0.39898932,upset,0.266953021,11-08-2019,"Fresno, CA"
"Loved the swimming pools. Good location for SeaWorld and entertainment.
 
  
  Read more
  Read less",POSITIVE,0.997511268,upset,0.613803744,satisfied,0.166606709,11-08-2019,Pittsburgh
"This is a pleasant hotel, I was a little disappointed that I had to go to the restaurant and order take out for pool side dining. Not a bad thing but I did not expect that - I had to order the food, then go back 10 mins later. When I good a hotel with a pool and restaurant in the photos I do expect that little bit of service.
 They also charged $100 incidental charge. Was not expected it to be deducted and then have to wait 3 - 5 days for it to be returned to my account. Not cool!
  
  Read more
  Read less",NEGATIVE,0.996786833,upset,0.686304331,happy,0.234465256,10-08-2019,Santa Cruz.
"Super. Todo cerca, buen servicio, buena comida. Recomendado
  
  Read more
  Read less",NEGATIVE,0.996356845,satisfied,0.686796188,happy,0.175744221,10-08-2019,Puerto Rico
"Need more staff at the chk in. My wait while my family stood in car was very underwhelming. Took entirely to long.
  
  Read more
  Read less",NEGATIVE,0.999730051,upset,0.762093425,anger,0.163676754,09-08-2019,New York
"1st off - I knew right away I wouldn�t be staying at this property again. Right after check in, we go to self park, only to find out that we weren�t given a code for the gate. Go up to Valet, get the code, go get in our room. Mind you, self parking and our room were on COMPLETELY opposite sides of the hotel property. Next, I realize I was charged for parking and forgot to mention that we had a handicap tag. I call the front desk, explain, and get told that I would get a refund to the card I put on file. Sounds great, problem solved. Next day, hadn�t received any notification for the refund and ALSO got a notice on our car that it was going to get towed because I didn�t have a parking tag on the dash.....when I wasn�t given anything by the front desk. I go talk to the front desk after our morning at the park & they say that they do charge for handicap and end up giving me a parking tag. Overall, it was not worth even the small cost of the stay. If staying at this property for Disney benefits- I suggest looking into a Disney Value resort. The inside of the hotel room just in general felt damp. Comforters on the beds were both damp. Friendliness of the staff was much less than acceptable, and I did not enjoy getting wrong information and a threat to tow my vehicle when it was their mistake.
  
  Read more
  Read less",NEGATIVE,0.998419464,upset,0.73012048,anger,0.149004966,09-08-2019,Panama City
"Everything looked great. Parking was bad only because they had big event in the conference area. Once the event was over, there was plenty of parking
  
  Read more
  Read less",NEGATIVE,0.995146275,upset,0.730637014,anger,0.150808543,09-08-2019,Ft. Lauderdale
"This property was amazing! It has so many great things to do for kids. Perfect place for people with kids or no kids.
  
  Read more
  Read less",POSITIVE,0.999176145,upset,0.452203721,satisfied,0.218705878,07-08-2019,Chicago
"Great location. Food at tic toc was excellent. Staff friendly and very accommodating.
  
  Read more
  Read less",POSITIVE,0.999633789,upset,0.420858771,satisfied,0.269208282,07-08-2019,Shreveport
"No fridge or microwave in room. Parking was $20 per night, ridiculous, the property was not in a congested area so it was just straight gouging.
  
  Read more
  Read less",NEGATIVE,0.99944514,upset,0.771404088,anger,0.198804364,07-08-2019,Oak Grove
"The front desk are not nice at all and they never answer the phone! Property is so far from the lobby!!
  
  Read more
  Read less",NEGATIVE,0.999677539,upset,0.877995789,anger,0.112327509,07-08-2019,WPB
"Very central, close to Madison squaer Garden and Penn Station.
 Rooms small but very clean, (minor issue)Hallways and lobby on the floors are dated. Staff helpful and polite
  
  Read more
  Read less",NEGATIVE,0.996784925,upset,0.456830233,satisfied,0.241218865,06-08-2019,Sydney Australia
"Liked the location. Convenience store and bar prices were high
  
  Read more
  Read less",NEGATIVE,0.966025412,satisfied,0.278142214,anger,0.253132552,06-08-2019,Cape Coral
"The room size
 Cleanliness
 Nice staff 
 Close to so many attractions
  
  Read more
  Read less",NEGATIVE,0.973249674,satisfied,0.495450348,happy,0.338482201,06-08-2019,Toronto
"Property was nice and clean however we stayed 2 nights and no one ever came to clean our room, so we lacked towels/garbage needed empty etc. Self parking fee of $22 US per night is way too high but you have no other options
  
  Read more
  Read less",NEGATIVE,0.996528685,upset,0.884152293,anger,0.092953771,05-08-2019,Ottawa Ont
"From the minute you arrive to the minute you leave you are not a customer. You are treated like family.
  
  Read more
  Read less",NEGATIVE,0.971139193,upset,0.620119274,anger,0.138364911,05-08-2019,Weeki Wachee Fl.
"Beautiful resort property with pristine pools, lush landscaping, koi pond, family friendly activities, pool-side bars and numerous dining options.
  
  Read more
  Read less",POSITIVE,0.936952412,upset,0.589507282,happy,0.150707841,05-08-2019,St. Pete
"I didn't like having trouble checking, and also tgat me key wasn't working. Even when i got a new one, also that u got charged on my card. After the lady at the front desk that asked me for the card and my ID cards. Told me that i wouldn't get charged because everything was payed all ready, which i did.
  
  Read more
  Read less",NEGATIVE,0.997829497,upset,0.793988407,anger,0.171594322,05-08-2019,New York
"Rooms were not kept up . Piling wallpaper, old soap in the shower. Pool area was not kept up including jacuzzi not working.
  
  Read more
  Read less",NEGATIVE,0.999697447,upset,0.872226894,anger,0.106834613,05-08-2019,Los Banos
"Overall this property was pleasing. The room was clean and I was very pleased. My only complain was the parking. With the exception of valet parking for $25 per night, there is no other parking on this property. If you don�t want to pay for the valet service, you most likely will have to park your vehicle a few blocks away from the property on the street.
  
  Read more
  Read less",POSITIVE,0.988202572,happy,0.529223382,upset,0.210007682,05-08-2019,North Carolina
"The picture on Expedia was misleading to actual property. The photo of the lobby was accurate, however. The location is great and the grounds are well kept. The actual room was a bit different. The bathroom was extremely small with little room to move let alone fit two guests. The bathtub was cracked/peeling off in one corner and there were stains on the tub floor. Also, there was no mirror in the room aside from the mirror in the bathroom which wasn't conductive to two guests. We most likely won't be staying at this location again.
  
  Read more
  Read less",NEGATIVE,0.764055431,upset,0.653930128,anger,0.142779857,05-08-2019,Jacksonville
"I like the location because it�s close to many places.
  
  Read more
  Read less",NEGATIVE,0.788365424,upset,0.434700191,satisfied,0.201185808,05-08-2019,Japan
"Property was beautiful and the staff was great. It would be nice if you had more restaurants where your guests could have dinner.
  
  Read more
  Read less",POSITIVE,0.999317825,upset,0.706626713,anger,0.138830066,04-08-2019,"Irvine, CA"
"Great staff and location. Easy access to subway at Penn station.
  
  Read more
  Read less",NEGATIVE,0.917736232,upset,0.460574538,anger,0.21146962,04-08-2019,Illinois
"We enjoyed our stay at The New Yorker. The location was great. The staff and facility were awesome. We loved the Art Deco architecture.
  
  Read more
  Read less",POSITIVE,0.999852002,satisfied,0.501389682,upset,0.258332878,04-08-2019,Texas
"Family and I stayed here for three nights. Really nice hotel close to Disneyland. The staff was super friendly and always had a smile for you. The room was nicely updated and quite- except for the air conditioning unit. That thing rattled on and off throughout the night. But we were so exhausted from being in the parks all day that it didn�t wake us after the first night. Walking to the parks took about 10 minuets. The room was spacious and didn�t feel cramped with four people moving around. The bathroom was nice and clean with decent counter space. Shower was big and had enough room to move without touching the sides. Could use more places to put your stuff on though. Very small corner shelf so had things on the shower floor. 
 First time staying here but won�t be our last.
  
  Read more
  Read less",POSITIVE,0.981190622,upset,0.398705631,happy,0.263797104,04-08-2019,California
"Didn�t get to explore much due to inclement weather, but what we did see what excellent. Parking is a bit obnoxious, definitely could be better. Only downfall I noticed. Will be back.
  
  Read more
  Read less",NEGATIVE,0.53441602,upset,0.677975118,anger,0.195872739,04-08-2019,"Sebastian, FL"
"This property was awesome! The first day was a little frustrating because a room was not ready early as I requested because our flight was getting in super early. We were waiting in the lobby for 2 1/2 hours, but they were able to get us checked in and the room was great. 
 The pools were not crowded because there were so many too choose from! The restaurants were great as well. Thank goodness for the little coffee shop downstairs that was open early and late. 
 My kids and I enjoyed our stay and our last night we even caught the fireworks from our hotel balcony.
  
  Read more
  Read less",POSITIVE,0.999695837,satisfied,0.393669844,upset,0.351418138,03-08-2019,Seattle
"Great hotel! Room was wonderful and the pools were fantastic!
  
  Read more
  Read less",POSITIVE,0.999756098,upset,0.401756465,satisfied,0.215123162,03-08-2019,"Palm Island, Florida"
"The property was always clean and the property land with the lake just stunning... Very happy with my stay here. Thanks
  
  Read more
  Read less",POSITIVE,0.99979043,happy,0.505646765,satisfied,0.441624612,01-08-2019,Pennsylvania
"Room was clean, hallway cleanliness was okay at best, but you�re not sleeping in the hallway. Location is so good. Easy to get everywhere from Penn station or just walking. 
 
 Only bummer was photos make everything look much more grand than it really is. The foyer is underwhelming in comparison to the photos on this site. The room looks spacious and wonderful in the photos, but in reality was very small. Given that it�s New York... the size isn�t really that shocking, but when you are expecting more from the photo, it�s a little blah?
  
  Read more
  Read less",POSITIVE,0.978517115,upset,0.905878961,anger,0.035481982,01-08-2019,Vancouver
"Nice hotel, could be cleaner, pools could be maintained better and kids area could be redone to provide better water play areas for the children.
  
  Read more
  Read less",NEGATIVE,0.99562031,upset,0.777665257,anger,0.117190078,31-07-2019,"Columbia, SC"
"The entire staff was very professional and kind, extemely helpful when it came to planning my visit to Disney world Magic Kingdom. Yasir was the best! He went above and beyond explaining in detail about how to purchade Disney passes and downloading and using the My Disney experience app, activating fast pass, etc. Without him our day wouldnt have went as smooth as it did once we got to Disney! Thank you so much Yasir!!!! We will definitely be coming back to only this location!
  
  Read more
  Read less",POSITIVE,0.998356283,satisfied,0.419807315,upset,0.330847472,31-07-2019,"Savannah, GA"
"Didnt accomodate me needing two queen beds for my family.
  
  Read more
  Read less",NEGATIVE,0.995562911,upset,0.904766619,anger,0.074052505,31-07-2019,Galt
"Great property, clean grounds. Nice pool. Rooms could definitely use a little modernizing compared to others in the area but overall a very nice and affordable place to stay
  
  Read more
  Read less",POSITIVE,0.999587119,upset,0.445692837,anger,0.32936734,31-07-2019,Brick
"The property was great but we had issues with the day shift and not getting a room for over 5 hours. When we arrived the ""system just went down"", and no rooms were able to be given. I was told to write my name and phone number on a piece of computer paper and they would call when the system was back up. We checked our bags at the baggage counter and waited 1.5 hours before we got tired of waiting and went to the park. After 5 hours we returned from the park and the system was back up, no call or anything. I have a 7 and 5 yr old and we just flew from KC and they were dirty and tired.The day manager stated that he couldn't comp the room for the night because he didn't have authority to do so but gave us a free breakfast. He gave us a room key and when we got to the room and tried to go in there was someone already in the room, this was at 12:00am. I returned to the front desk and the night manager was there and he upgraded us to the tower, ok that's fine. We get to the 10th floor tried the key, it didn't work. So I had to drag my kids and wife back down to the lobby. This time he gave us a room key that worked but we still didn't know where bags were. The night manager was awesome. He ,for some reason, had the ""authority"" to comp us 2 nights and give us another free breakfast. The night manager was a great help and did everything he could to make sure he cleaned up the other managers mess. He even brought our bags to our room personally. He was the best part of the hotel.
  
  Read more
  Read less",NEGATIVE,0.999474645,upset,0.429998517,satisfied,0.222496778,31-07-2019,Wichita KS
"The property needs to be renovated, its very old fashion.
  
  Read more
  Read less",NEGATIVE,0.999366224,upset,0.878484726,anger,0.091130234,31-07-2019,"New York, NY"
"The location is excellent, hotel room is small but was clean. Pool is good
  
  Read more
  Read less",POSITIVE,0.685386658,satisfied,0.323794156,upset,0.30210796,31-07-2019,Lake Buena Vista
"One of our room was not ready until 5pm. but we didn't mind it a ton since we had the other one. the layout of the hotel was a bit confusing at first. I liked that it is very close to Disney Springs. The shuttle service was excellent. The pool very nice for the little ones. The food at the pool was amazing.
  
  Read more
  Read less",POSITIVE,0.998970926,upset,0.413086563,satisfied,0.20954062,31-07-2019,"Chicago, IL"
"It was a great stay. Would stay there again. Very close to Disneyland
  
  Read more
  Read less",NEGATIVE,0.981204331,satisfied,0.431939393,happy,0.242030382,31-07-2019,Seattle WA
"The layout and location are great. They offer yoga for free on mondays and Wednesdays. The excercise room is nice as is the pool. The room is spacious and comfortable
  
  Read more
  Read less",POSITIVE,0.999662161,satisfied,0.553269863,happy,0.23416017,30-07-2019,South bend Indiana
"The pictures that appear when you book for this location are misleading. This was a dingy over priced motel that was not worth the money. I paid for the so called �upgraded room� and received a room with a balcony that overlooked horrible landscaping and a busy parking lot. I had to request for our room to be cleaned, the room itself was not very clean and some of the staff members were rude. I will def look for other resort options in the future.
  
  Read more
  Read less",NEGATIVE,0.999741614,upset,0.779699624,anger,0.148066774,30-07-2019,Illinois
"I stayed here with my girlfriend for her birthday. Prior to my stay I messaged the hotel about any additions for the birthday that if they added I would pay for in advance and appreciate. None of that happened. Upon check in the front desk woman was coarse and seemed overworked. I had questions about the amenities and she quickly averted the topic. The bartenders in the lobby were nice but it seemed that everyone was from another country(that�s all they talked about). That�s fine with me but it became noticably worse when they were arriving to work visibly hung over. 
 
 The �resort� is fine. At check in we were handed a map that let us know where everything was. There was a quiet pool On that map that we were looking forward to, however the reality is that it was unmonitored and often over run by kids and louder adults. The same with the hot tub. There is no spa here despite what is advertised. There is a small gym open to anyone and a sauna - and during our stay there were kids everywhere so we didn�t bother to use these features. Also - there are ducks on the property. For me and my girl we enjoyed them and know that in Florida wildlife comes with staying anywhere. However it was really disheartening to see kids and young adults violently chasing them away at times. It the hotel can staff some outdoor attendants to inform and assist with how the resort should run, our stay would have probably been a lot better
  
  Read more
  Read less",NEGATIVE,0.998951793,upset,0.689129293,anger,0.135566294,30-07-2019,Daytona
"love this property, always friendly staff and clean
  
  Read more
  Read less",POSITIVE,0.997867048,happy,0.557082474,satisfied,0.277761996,29-07-2019,charlotte
"I've stayed at the New Yorker several times and I am always pleased with my stay. There is a subway (A,C & E trains) station outside the hotel, as well as crosstown & uptown bus stops. The staff are always friendly and helpful. This trip I thought I had booked a double room but had actually book a single room with a double bed (it was definitely my error). While my friend that was with me is like a brother to me, I didn't fancy sleeping with him during our stay. However, the staff were able to find us a double room, much to my delight. I highly recommend this hotel as it is my hotel of choice when staying in New York.
  
  Read more
  Read less",POSITIVE,0.999261677,satisfied,0.521366596,happy,0.222056121,28-07-2019,"Saint John, NB Canada"
"The local in Manhattan, very good near various attractions in NYC
  
  Read more
  Read less",NEGATIVE,0.981350601,upset,0.616134286,anger,0.221464992,28-07-2019,"Pernambuco, Brasil"
"All of the people on the property are very helpful and nice especially Shelton at the baggage desk and Bonnie at the pool. The property is nice. The rooms are a bit dated but I knew that going in. Overall I would definitely stay here again.
  
  Read more
  Read less",POSITIVE,0.987945139,satisfied,0.360454321,upset,0.356749773,28-07-2019,Michigan
"It had a bar , a pool, it was clean and in a nice area
  
  Read more
  Read less",POSITIVE,0.731701732,upset,0.444303751,satisfied,0.209329173,28-07-2019,San Francisco
"I didn�t like the rooms and one of the tv never works.
  
  Read more
  Read less",NEGATIVE,0.999716341,upset,0.892305613,anger,0.079309329,28-07-2019,Midland TX
"I stayed here about 3 years ago and though very pleased with the accommodations the hotel is beginning to look dated and not as fresh as I remembered.
 Kayla, Front Desk, was very professional, engaging, accommodating and knowledgeable....delivered �world class� service!
  
  Read more
  Read less",NEGATIVE,0.995612562,satisfied,0.404877782,upset,0.37462002,27-07-2019,"Washington, DC"
"We were only comfortable 1 of the 7 nights we stayed in this hotel. I rented two rooms, both were changed day 3 due to cold showers the prior two nights. Then the hot water in the entire hotel went out and they lied for several hours before it was fixed instructing is to run the water for 15 minutes, just 2 more minutes...until I went to the desk and they finally said the repair had just begun. Another cold shower, and left in the morning. When we returned, the bed had water on it dripping from the air conditioner vent and the AC was not working correctly. Since it couldn�t be fixed, all furniture was moved to the side out of the drip area which meant I couldn�t sit on the bed without hitting my head on a light, and no AC for that evening. The next day they lied again saying it had been fixed. I had to call for them to move the furniture back and then looked up to see more water on the vent. We pushed the furniture over ourselves and slept like that the rest of our stay, without the AC working properly. After talking to every single manager and getting nowhere I had to wait two hours one morning day 6 to speak to the director of operations who all but accused me of lying because why would he �take a customers word over his employees?� He took 6 days off of one of my rooms. My second room that had been changed the same day as the first smelled like rotten eggs the entire time but maintenance did nothing and the director of operations wasn�t willing to do anything.
  
  Read more
  Read less",NEGATIVE,0.998760045,upset,0.638857841,anger,0.223437265,27-07-2019,Washington
"The rooms are dated and definitely need an upgrade, but housekeeping always did a great job keeping it clean and providing toiletries and towels during my stay. I found it odd that the rooms didn't come with a coffee maker (not sure if this is a standard for all hotels or not) but there's a Starbucks and McDonald's across the street as well as a Dunkin' Donuts on the next block. The hotel's gym is pretty big and comes with a lot of treadmills and other equipment.
 
 The location is the best thing about this hotel as it's right across Penn Station, MSG and is a short walk away from Macy's and Empire State building.
  
  Read more
  Read less",POSITIVE,0.996942937,upset,0.573622465,happy,0.173804149,27-07-2019,Toronto
"It was very clean. Nice rooms and nice pools. The only thing I did not like was that I had to pay. $22.00 dollars a day for self-parking. On top of the $35.00 resort fee.
  
  Read more
  Read less",NEGATIVE,0.971463501,upset,0.779662669,anger,0.138819665,26-07-2019,"Fontana,ca"
"The Hotel location is ideal for first time visitors, Times Square, Empire State and Broadway are at a walking distance. Also, the subway is just around the corner. The rooms are very small but that�s understandable for New York, most hotels offer fairly small rooms. The only but will be that they charge you facilities fees for every night, that took me by surprise since I booked it through a third party company and was not aware of that.
  
  Read more
  Read less",NEGATIVE,0.921754837,upset,0.639076293,anger,0.207132339,26-07-2019,Guadalajara
"Great check-in staff. Very helpful. Beautiful lobby.
  
  Read more
  Read less",POSITIVE,0.986590564,upset,0.516797483,happy,0.182669327,25-07-2019,Michigan
"I liked the location based on my purpose for this trip. If you're there for Disney it seems to be an excellent location. I stayed in one of the sunset wings which appear to be the older part of the hotel. However the room was very nice and clean. The pools are nice. The poolside bar called Oasis was ok, but looks like it could use an upgrade. Drink prices were reasonable.
  
  Read more
  Read less",POSITIVE,0.982115686,upset,0.449375123,happy,0.21297355,25-07-2019,Maryland
"Location is ideal for acces to many events and attractions. Staff were friendly and helpful. Room was quiet and although a bit small, adequate for the amount of time we spent in it.
  
  Read more
  Read less",POSITIVE,0.960841894,upset,0.498168677,satisfied,0.255439848,24-07-2019,Princeton
"The hotel was very convenient to Penn Station and Times Square. The room was adequate for 2 guest. Bathroom was large and clean. The room was small but all we needed. Staff pleasant and always available for directions and help in getting cabs when needed. Would definitely recommend. Will stay there again if in New York.
  
  Read more
  Read less",POSITIVE,0.818427145,satisfied,0.486136049,happy,0.215782627,24-07-2019,"Vinton, VA 24179"
"Great Location! Walking distance to Disney Springs!
  
  Read more
  Read less",NEGATIVE,0.622807384,upset,0.644709527,happy,0.143060073,24-07-2019,Puerto Rico
"I liked that is the closest hotel to Disney Springs
  
  Read more
  Read less",NEGATIVE,0.971595049,satisfied,0.311669409,anger,0.284511596,24-07-2019,"Springfield, MA"
"I liked the location of the facility next to Disney Springs, a quick walk over the bridge 
 
 I told the desk clerk had we not returned to our room so late and so tired I would have called the desk -- in hind sight I should have ask room service to come up and change the bed sheets, upon entering under the sheets they had the feeling the were damp, not dried completely. Just to tired to change rooms or wait for service
  
  Read more
  Read less",NEGATIVE,0.998010993,upset,0.580365837,anger,0.175484896,24-07-2019,"New Bedford, MA"
"Staff were great but property was not except able or look like pictures on internet
  
  Read more
  Read less",NEGATIVE,0.997215748,upset,0.838356256,anger,0.133066952,23-07-2019,Sparks nv
"The property was clean and staff was helpful. The parking is a but much especially if its almost $100 for 3 days but other then that it was a nice trip
  
  Read more
  Read less",NEGATIVE,0.981095433,upset,0.45304656,satisfied,0.237076223,22-07-2019,West Palm Beach
"Great location 5 minute walk to Disney Springs! Magic Kingdom buses at your door until 8:25 pm and round trip! Nice hotel and beautiful pool!
 Perfect location to do Disney!
  
  Read more
  Read less",POSITIVE,0.999076128,upset,0.420873195,happy,0.217168555,22-07-2019,"Rockland, MA"
"The pool and surrounding area was actually quite nice! The only gripe I have is that one of the members of the cleaning crew was working in the middle of the hallway out of a cart and as we were approaching he didn�t move for us, just looked at us as squeezed by. It was awkward and unprofessional.
  
  Read more
  Read less",NEGATIVE,0.989563763,upset,0.891862512,anger,0.071732096,22-07-2019,Ann Arbor
